phase,task_id,task,status,date_added,date_completed,notes
1,1.1,Project scaffolding (repo layout from PROJECT-INTRO §9),not_started,2026-06-02,,pyproject.toml + src/ + tests/ + configs/
1,1.2,config.py — pydantic-settings (SQLite local / Postgres prod),not_started,2026-06-02,,
1,1.3,DB models — jobs + training_events tables (LLD §1),not_started,2026-06-02,,
1,1.4,Alembic migration for initial schema,not_started,2026-06-02,,
1,1.5,Rank selector (LLD §3) — dataset size → r/alpha/target_modules,not_started,2026-06-02,,
1,1.6,POST /jobs — validate + insert queued + enqueue to RQ (Gotcha 7),not_started,2026-06-02,,
1,1.7,GET /jobs/{id} — status endpoint,not_started,2026-06-02,,
1,1.8,RQ worker — dequeue + atomic claim (Gotcha 6),not_started,2026-06-02,,
1,1.9,LoRA trainer — HF Transformers + PEFT training loop,not_started,2026-06-02,,
1,1.10,S3 adapter upload inside worker (Gotcha 10),not_started,2026-06-02,,
1,1.11,GPU lock — Redis NX+PX + Lua release (Gotcha 1),not_started,2026-06-02,,
1,1.12,Basic inference endpoint POST :8001/infer/{job_id},not_started,2026-06-02,,no LRU yet — load/unload per request
1,1.13,VPS inference proxy — validate job + forward to pod (Gotcha 11),not_started,2026-06-02,,
1,1.14,End-to-end integration test — submit → train → upload → infer,not_started,2026-06-02,,
2,2.1,training_events insert per step in worker,not_started,2026-06-02,,
2,2.2,GET /jobs/{id}/events — SSE endpoint with TOCTOU safety (Gotcha 8),not_started,2026-06-02,,
2,2.3,Redis pub/sub for live training events,not_started,2026-06-02,,
2,2.4,SSE dedup — watermark-based exactly-once delivery,not_started,2026-06-02,,
2,2.5,GET /jobs/{id}/poll — lightweight status polling,not_started,2026-06-02,,
3,3.1,LRU adapter cache — OrderedDict + asyncio.Lock (Gotcha 3),not_started,2026-06-02,,
3,3.2,Size-based eviction — VRAM ≈ adapter_size_mb × 3 (Gotcha 4),not_started,2026-06-02,,
3,3.3,Cache eviction before training — full flush + empty_cache (Gotcha 2),not_started,2026-06-02,,
3,3.4,Cold load from S3 on cache miss,not_started,2026-06-02,,
3,3.5,OOM retry loop — evict more on torch.cuda.OutOfMemoryError,not_started,2026-06-02,,
3,3.6,Actual VRAM delta recording to replace estimates,not_started,2026-06-02,,
4,4.1,Heartbeat thread — refresh last_alive_at + Redis TTLs every 30s,not_started,2026-06-02,,
4,4.2,Watchdog — detect stale jobs + re-enqueue (Gotcha 6),not_started,2026-06-02,,
4,4.3,OOM recovery — catch + cleanup + mark failed,not_started,2026-06-02,,
4,4.4,Pod hostname as Redis key with heartbeat TTL (Gotcha 9),not_started,2026-06-02,,
4,4.5,Nginx config — TLS termination + reverse proxy,not_started,2026-06-02,,
4,4.6,Docker Compose (VPS) + Dockerfile (worker),not_started,2026-06-02,,
4,4.7,Shared-secret header validation on :8001 (Gotcha 11),not_started,2026-06-02,,
4,4.8,Classifier head + prompt template persistence (Gotcha 5),not_started,2026-06-02,,
5,5.1,Single-HTML frontend — job submission + dataset upload,not_started,2026-06-02,,
5,5.2,Live loss curve chart (SSE-driven),not_started,2026-06-02,,
5,5.3,Job status dashboard,not_started,2026-06-02,,
5,5.4,Inference playground — prompt input + response display,not_started,2026-06-02,,
5,5.5,Job history list,not_started,2026-06-02,,
